ID,Name,Position,ADP,Team
1286046,Jack Bech,WR,132.45168,LV
1110711,Trevor Lawrence,QB,132.56999,JAX
1135513,Dalton Kincaid,TE,134.62846,BUF
791365,Dallas Goedert,TE,135.65852,PHI
923412,Rashid Shaheed,WR,135.71217,NO
1229343,Rachaad White,RB,137.71063,TB
1123026,Kyle Pitts,TE,138.50294,ATL
865801,Christian Kirk,WR,139.30899,HOU
1107478,Michael Penix Jr.,QB,139.61128,ATL
1169430,Tyjae Spears,RB,140.54126,TEN
973947,Tua Tagovailoa,QB,142.06102,MIA
323205,Matthew Stafford,QB,142.41096,LAR
733643,Adam Thielen,WR,142.80678,CAR
1227157,Kyle Williams,WR,144.69771,NE
1065361,Jake Ferguson,TE,145.53549,DAL
1126338,Isaac Guerendo,RB,147.43596,SF
976220,Hollywood Brown,WR,148.80151,KC
503177,Zach Ertz,TE,149.27109,WAS
1228691,Cam Ward,QB,149.76111,TEN
1215035,Tank Bigsby,RB,149.92528,JAX
1213257,Bryce Young,QB,152.78378,CAR
513856,Geno Smith,QB,153.12387,LV
790004,Austin Ekeler,RB,153.56781,WAS
1213726,Jalen McMillan,WR,154.06136,TB
1213865,Quentin Johnston,WR,155.6242,LAC
1248031,Trey Benson,RB,155.75458,ARI
1165229,Ray Davis,RB,157.1566,BUF
880026,Sam Darnold,QB,159.84367,SEA
836152,Mike Gesicki,TE,161.5817,CIN
933480,Rico Dowdle,RB,162.70561,CAR
1131198,Tyler Allgeier,RB,163.37491,ATL
1164875,Wan'Dale Robinson,WR,163.73735,NYG
1381263,Mason Taylor,TE,164.58316,NYJ
1215022,Anthony Richardson,QB,164.80887,IND
1116662,Pat Freiermuth,TE,166.17822,PIT
1122653,Romeo Doubs,WR,167.07141,GB
1180321,Xavier Legette,WR,168.14462,CAR
746613,Kareem Hunt,RB,169.93477,KC
1164940,Brenton Strange,TE,170.17427,JAX
1325231,Braelon Allen,RB,171.35574,NYJ
560241,DeAndre Hopkins,WR,171.46779,BAL
1107027,Alec Pierce,WR,172.3843,IND
1049263,Cade Otton,TE,172.8935,TB
1124664,Cedric Tillman,WR,176.36165,CLE
1059612,Joshua Palmer,WR,177.37119,BUF
744425,Hunter Henry,TE,178.35591,NE
1399910,Dylan Sampson,RB,179.05983,CLE
1286513,Jaylen Wright,RB,180.52306,MIA
557210,Keenan Allen,WR,181.5355,FA
923109,Justice Hill,RB,181.91055,BAL
1286370,Jaylin Noel,WR,183.58511,HOU
1395319,Elic Ayomanor,WR,186.3432,TEN
503184,Taysom Hill,TE,186.6589,NO
976513,J.K. Dobbins,RB,187.8745,FA
1110306,Tyler Shough,QB,188.56978,NO
1125737,Jerome Ford,RB,190.03598,CLE
1124851,Andrei Iosivas,WR,190.28036,CIN
1106374,Chig Okonkwo,TE,192.17285,TEN
1163265,Roschon Johnson,RB,192.44568,CHI
1175693,DeMario Douglas,WR,192.54424,NE
1293066,Devin Neal,RB,194.29524,NO
830523,Dalton Schultz,TE,195.1091,HOU
1286260,Jaxson Dart,QB,196.46254,NYG
1305866,Pat Bryant,WR,197.05087,DEN
1287636,Will Shipley,RB,197.14516,PHI
605242,Tyler Lockett,WR,197.94785,TEN
1286179,Terrance Ferguson,TE,198.68666,LAR
1123529,Michael Wilson,WR,200.7204,ARI
822857,Nick Chubb,RB,201.09805,FA
401534,Russell Wilson,QB,201.42357,NYG
1229540,Blake Corum,RB,203.45679,LAR
1066424,Jalen Tolbert,WR,204.52931,DAL
1403491,Jalen Royals,WR,204.53462,KC
1062765,Calvin Austin III,WR,205.68295,PIT
213957,Aaron Rodgers,QB,206.79234,FA
1213414,MarShawn Lloyd,RB,207.03717,GB
1441362,Isaac TeSlaa,WR,208.56061,DET
884609,Juwan Johnson,TE,209.74927,NO
1218753,Jalen Coker,WR,210.11662,CAR
606501,Raheem Mostert,RB,211.01208,LV
1303569,DJ Giddens,RB,212.00188,IND
1272321,Shedeur Sanders,QB,212.41492,CLE
1313668,Brashard Smith,RB,213.95567,KC
604176,Tyler Higbee,TE,214.42355,LAR
880557,Darius Slayton,WR,214.53227,NYG
1286840,Elijah Arroyo,TE,215.29599,SEA
1319185,Jarquez Hunter,RB,216.5641,LAR
650914,Amari Cooper,WR,216.82608,FA
1172428,Dontayvion Wicks,WR,217.37115,GB
1106760,Tutu Atwell,WR,219.16125,LAR
879981,Daniel Jones,QB,219.16847,IND
891115,Diontae Johnson,WR,219.5745,CLE
1231652,Woody Marks,RB,219.78622,HOU
1056981,Noah Gray,TE,220.04684,KC
1128222,Tank Dell,WR,221.31967,HOU
1377766,Ollie Gordon II,RB,221.46593,MIA
1066765,Cole Kmet,TE,221.6407,CHI
1271738,Jaleel McLaughlin,RB,221.75153,DEN
1290102,Jalen Milroe,QB,222.60252,SEA
976650,Clyde Edwards-Helaire,RB,222.7686,NO
883259,Nick Westbrook-Ikhine,WR,223.01595,MIA
1322393,Jimmy Horn Jr.,WR,223.1016,CAR
1400657,Jordan James,RB,223.18755,SF
607843,Marcus Mariota,QB,223.33333,WAS
1326628,Ja'Tavion Sanders,TE,223.82591,CAR
216342,Joe Flacco,QB,224.0368,CLE
733754,Mike Williams,WR,224.14613,LAC
1250886,Kyle Monangai,RB,224.4378,CHI
1121050,Jake Bobo,WR,224.5979,SEA
555358,Jimmy Garoppolo,QB,224.7083,LAR
1164846,Luke McCaffrey,WR,224.83275,WAS
1214414,Theo Johnson,TE,225.00002,NYG
1213782,Will Howard,QB,225.0044,PIT
1378840,LeQuint Allen Jr.,RB,225.0377,JAX
944343,Alexander Mattison,RB,225.07692,MIA
1174752,Spencer Rattler,QB,225.08002,NO
867759,Ray-Ray McCloud III,WR,225.12741,ATL
935104,Khalil Herbert,RB,225.40771,IND
1213881,Ja'Lynn Polk,WR,225.56754,NE
1231033,LaJohntay Wester,WR,225.57896,BAL
1179790,Luke Musgrave,TE,225.59808,GB
1107826,Antonio Gibson,RB,225.6182,NE
835909,JuJu Smith-Schuster,WR,225.6338,KC
823220,Mason Rudolph,QB,225.6484,PIT
865958,KaVontae Turpin,WR,225.67424,DAL
1060545,AJ Dillon,RB,225.6947,PHI
1286176,Troy Franklin,WR,225.74191,DEN
1126817,Jalen Nailor,WR,225.77206,MIN
1321291,Audric Estime,RB,225.85313,DEN
1107878,Dyami Brown,WR,225.89098,JAX
1214405,KeAndre Lambert-Smith,WR,225.9852,LAC
865844,Jake Browning,QB,226,CIN
1213872,Savion Williams,WR,226.0537,GB
1191186,Jacory Croskey-Merritt,RB,226.10463,WAS
837958,Allen Lazard,WR,226.17784,NYJ
1160348,John Metchie III,WR,226.2297,HOU
916466,Devin Singletary,RB,226.2814,NYG
1108998,Dameon Pierce,RB,226.2882,HOU
692660,Kalif Raymond,WR,226.2941,DET
1229669,Roman Wilson,WR,226.30649,PIT
1214689,Jaylin Lane,WR,226.33026,WAS
910852,Greg Dortch,WR,226.3699,ARI
841649,Hunter Renfrow,WR,226.40942,CAR
1165333,Dillon Gabriel,QB,226.4167,CLE
1163273,Jordan Whittington,WR,226.4231,LAR
976761,Gabe Davis,WR,226.4364,FA
1333868,Quinn Ewers,QB,226.4643,MIA
754412,Kendrick Bourne,WR,226.47223,NE
1164788,Devaughn Vele,WR,226.4979,DEN
976924,Kenny Pickett,QB,226.6042,CLE
836103,Noah Brown,WR,226.62584,WAS
1215291,Malachi Corley,WR,226.6333,NYJ
924261,Miles Sanders,RB,226.63875,DAL
1229673,Kalel Mullings,RB,226.65,TEN
403308,Kirk Cousins,QB,226.6866,ATL
913170,Zack Moss,RB,226.6896,CIN
1128783,Elijah Moore,WR,226.69464,BUF
1175182,Cade Stover,TE,226.7368,HOU
1214183,Xavier Restrepo,WR,226.75102,TEN
1067918,Christian Watson,WR,226.79,GB
828743,Deshaun Watson,QB,226.8,CLE
1229074,Parker Washington,WR,226.8051,JAX
1287641,Phil Mafah,RB,226.83331,DAL
822367,Josh Reynolds,WR,226.8675,NYJ
1172024,Treylon Burks,WR,226.871,TEN
1213867,Kendre Miller,RB,226.95584,NO
1218653,Arian Smith,WR,226.99207,NYJ
976251,Cam Akers,RB,227.01813,FA
1121878,Jahan Dotson,WR,227.0818,PHI
691536,Jameis Winston,QB,227.08328,NYG
820734,Samaje Perine,RB,227.1316,CIN
607864,Brandin Cooks,WR,227.14792,NO
877784,Ty Johnson,RB,227.1619,BUF
1228730,Tahj Brooks,RB,227.22772,CIN
1285908,Adonai Mitchell,WR,227.2411,IND
883976,Olamide Zaccheaus,WR,227.30864,CHI
1130705,Kenneth Gainwell,RB,227.33682,PIT
694117,Cooper Rush,QB,227.3571,BAL
1394752,Harold Fannin Jr.,TE,227.48627,CLE
838179,Tim Patrick,WR,227.55792,DET
1165650,Nick Nash,WR,227.57277,ATL
1377751,Damien Martinez,RB,227.68292,SEA
1229503,AJ Barner,TE,227.8667,SEA
727279,Demarcus Robinson,WR,227.87077,SF
1176782,Jonathan Mingo,WR,227.8824,DAL
742382,Marquez Valdes-Scantling,WR,227.91597,SEA
1050833,Elijah Mitchell,RB,227.92346,KC
1164979,Tre Tucker,WR,227.9352,LV
1112338,Joe Milton III,QB,228,DAL
1228633,Sean Tucker,RB,228.03052,TB
1271609,Isaiah Davis,RB,228.1905,NYJ
1394803,Trevor Etienne,RB,228.1907,CAR
1213362,Kayshon Boutte,WR,228.22327,NE
1232592,Michael Mayer,TE,228.338,LV
1222789,Keaton Mitchell,RB,228.39397,BAL
1173255,Malik Washington,WR,228.625,MIA
1447759,Emanuel Wilson,RB,228.7013,GB
1228920,Ben Sinnott,TE,228.7965,WAS
821389,Curtis Samuel,WR,228.82852,BUF
837806,Will Dissly,TE,228.84305,LAC
1325624,Oronde Gadsden II,TE,228.9249,LAC
976221,Grant Calcaterra,TE,228.9545,PHI
1215102,Chimere Dike,WR,228.988,TEN
1287587,Tai Felton,WR,229.33627,MIN
1223393,Tory Horton,WR,229.3702,SEA
1286164,Dont'e Thornton Jr.,WR,229.70949,LV
923911,Noah Fant,TE,229.71004,SEA
861278,Tyler Conklin,TE,230.00002,LAC
1218631,Jermaine Burton,WR,230.04225,CIN
884083,Dawson Knox,TE,230.5889,BUF
1168245,Sam Howell,QB,230.7083,MIN
702808,Mack Hollins,WR,230.8974,NE
739424,Austin Hooper,TE,230.9123,NE
1286438,Gunnar Helm,TE,232.082,TEN
1130242,Luke Schoonmaker,TE,232.5909,DAL
1326601,Jonathon Brooks,RB,233.5,CAR
1398503,Isaiah Bond,WR,,FA
496083,Derek Carr,QB,,NO
590796,Ameer Abdullah,RB,,FA
1285895,Raheim Sanders,RB,,LAC
1214824,Kimani Vidal,RB,,LAC
