id,player,rank,projectedPoints,positionRank,position,team
65d635d1-4824-4797-b798-baf0b4a38568,Jase McClellan,-,5.8,,RB,ATL
00f0e45f-a7fb-4048-95ec-c9521cbf3a35,Keilan Robinson,-,5.7,,RB,JAC
062b2a91-b675-4734-b41b-b4e6ea4a401b,Deuce Vaughn,-,5.6,,RB,DAL
63e98a47-ab10-4f11-bfc8-15760ef2441b,Devin Duvernay,-,5.6,,WR,CHI
5d3055f2-2a19-46b6-80ab-c4c06f7903c4,Jeremy McNichols,-,5.3,,RB,WAS
02c58e70-da47-4bbb-a925-97a5a7cfdcab,Tyler Scott,-,5.1,,WR,CHI
bae7cd0e-42de-4feb-9e50-96dab6bcd650,Travis Homer,-,4.7,,RB,CHI
b2e72d2c-aaa9-4a83-b7b3-eba29f56891c,Braxton Berrios,-,4.6,,WR,HOU
0537e91c-5bca-4968-86c3-7040af95998f,Raheem Blackshear,-,4.6,,RB,CAR
88c47340-0bce-4c1b-b7db-a039354115a3,Hassan Haskins,-,4.5,,RB,LAC
8ecab4bb-74e8-46fa-8ecc-c4d98cb98968,DeAndre Carter,-,4.5,,WR,CLE
da1f8a98-3836-45d8-a651-0aa945c0327d,Drew Ogletree,-,4.5,,TE,IND
fa4a9b69-bec2-4a29-b93f-66981407322f,Johnny Mundt,-,4.4,,TE,JAC
c23672c1-a7f9-4537-97a4-b999a2e3cf40,Ian Thomas,-,4.4,,TE,LV
5eee012c-39c7-4468-a185-7e02a1f4c6e5,Patrick Taylor,-,4.4,,RB,SF
708ad3b5-091e-4ea1-82e3-8d6bf6f2f67f,Eric Saubert,-,4.3,,TE,SEA
05e01406-68cc-491d-b473-70997a76eb1f,Rakim Jarrett,-,4,,WR,TB
c290fc79-b219-43da-a1fc-f62c363c2908,Ronnie Rivers,-,3.4,,RB,LA
64231658-3a61-4767-b0de-cb16cf77b66a,Cedrick Wilson,-,3.1,,WR,NO
e48b378c-07a9-4d93-a870-4fc4cb2e6500,Dante Pettis,-,3.1,,WR,NO
dd2afcbb-7056-4832-abe0-9a2a3eff2fc0,Greg Dulcich,-,2.9,,TE,NYG
03d4f85a-ef42-49ab-91ec-1e8ef68049c2,Chris Manhertz,-,2.9,,TE,NYG
6571c15b-569e-45dc-90b8-9b8564feb704,Jha'Quan Jackson,-,2.1,,WR,TEN
d7ba14fc-4213-4d3f-aa35-15019be03b2b,Chris Moore,-,1.9,,WR,WAS
